"","success","goal_adj","country","category","name_len","name_len_clean","blurb_len","blurb_len_clean","deadline_weekday","created_at_weekday","launched_at_weekday","deadline_month","deadline_yr","created_at_month","created_at_yr","launched_at_month","launched_at_yr","create_to_launch_days","launch_to_deadline_days","avg_pledge"
"15820",1,2059.27007422473,"US","Other",7,6,19,16,"Friday","Saturday","Tuesday","12","2014","11","2014","11","2014",3,45,252.585731998986
"15821",1,821.99455105126,"US","Other",5,5,23,16,"Sunday","Tuesday","Wednesday","9","2014","8","2014","9","2014",29,18,21.7217155122843
"15822",1,2057.11732446434,"US","Other",5,4,20,16,"Thursday","Thursday","Tuesday","7","2014","6","2014","6","2014",12,30,23.2374305784953
"15823",1,3098.85616073016,"US","Other",2,2,15,9,"Saturday","Tuesday","Thursday","5","2015","3","2015","4","2015",30,30,66.1909117506225
"15824",1,887.00736182894,"GB","Other",8,6,10,8,"Thursday","Friday","Friday","11","2014","10","2014","10","2014",0,13,8.99546564843062
"15825",1,133.261188010584,"GB","Other",7,5,11,9,"Wednesday","Saturday","Monday","9","2016","8","2016","8","2016",2,30,18.2342457093115
"15826",1,1015.75209597789,"US","Other",1,1,10,10,"Sunday","Sunday","Monday","7","2016","5","2016","6","2016",21,20,44.9047072430224
"15827",1,2059.83504841338,"US","Other",7,6,16,11,"Monday","Monday","Tuesday","6","2014","4","2014","5","2014",15,20,40.6397047561965
"15828",1,1029.63503711237,"US","Other",1,1,14,9,"Wednesday","Friday","Monday","12","2014","8","2014","11","2014",86,30,24.1065345990594
"15829",1,2885.12946153853,"AU","Other",9,8,22,21,"Monday","Saturday","Friday","10","2014","8","2014","8","2014",19,45,72.6396275736392
